N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,choice
28,42,24,26,48,18,11,4,2,8,2,166,2,24,0,7,41,6,16,2,0,36,6,25,10,4,6,1
35,42,18,23,65,27,11,6,9,3,4,182,0,32,0,2,48,7,10,2,1,29,10,27,17,3,6,1
19,38,18,26,46,35,13,2,8,0,2,144,0,26,0,2,44,4,12,0,0,26,3,42,14,0,6,1
30,38,16,20,53,29,15,3,12,7,4,170,2,25,0,3,55,5,20,4,0,34,5,45,17,3,5,1
23,45,13,28,46,28,2,2,6,2,5,163,1,27,1,0,59,4,12,2,3,27,5,42,9,1,1,1
22,47,24,25,49,11,9,8,7,5,3,149,0,19,0,5,54,5,16,1,2,22,5,37,8,3,1,2
26,49,22,18,49,26,19,8,5,1,3,141,0,31,1,2,58,15,8,1,4,30,2,35,15,3,5,1
29,37,24,22,64,17,13,5,7,8,7,178,2,17,0,7,66,4,12,3,1,25,5,29,16,6,6,1
22,47,23,20,58,25,9,5,6,1,3,183,0,23,1,2,59,4,12,1,4,23,3,27,23,1,3,2
26,37,24,22,60,28,11,3,7,3,6,183,2,39,1,3,83,9,13,4,2,24,2,31,21,1,5,1
24,44,22,26,60,29,12,3,4,10,5,229,4,31,0,4,67,3,10,2,2,29,5,50,23,6,5,1
21,46,17,24,67,29,12,6,9,8,6,236,1,48,1,0,105,12,20,4,2,35,4,35,30,1,3,1
26,35,25,24,61,24,9,1,8,15,4,202,0,42,0,4,88,9,13,7,3,24,2,30,43,4,9,2
21,37,21,25,60,39,14,5,7,2,1,184,1,26,3,1,86,8,13,0,4,33,2,49,23,4,2,2
20,41,23,16,40,31,16,5,6,6,6,177,2,30,3,10,94,10,16,0,2,24,3,31,22,2,7,2
29,45,19,13,61,22,13,5,8,6,5,200,2,44,3,6,77,9,14,3,3,36,5,52,23,3,3,1
27,40,24,25,52,31,18,10,8,2,5,204,0,33,3,5,98,13,12,2,1,34,3,46,14,5,6,2
27,41,21,27,68,23,19,5,7,3,5,201,2,36,1,8,76,12,9,5,2,34,1,46,25,3,8,1
16,43,15,20,37,20,15,11,6,6,5,187,1,21,4,2,70,9,10,3,3,23,7,46,12,3,5,1
20,38,21,16,40,28,13,1,7,9,6,169,1,36,4,2,84,9,18,4,5,34,7,47,22,2,4,2
21,35,21,23,56,31,7,5,6,6,4,180,2,35,0,4,93,7,18,0,3,32,9,43,25,3,12,2
15,35,27,33,55,28,17,1,4,6,7,157,1,27,0,5,71,10,7,6,0,39,4,48,15,4,5,2
16,38,19,30,47,28,15,9,10,7,10,150,3,38,1,2,73,11,16,2,1,36,2,48,20,4,7,1
19,38,21,33,46,25,16,3,11,7,7,158,1,29,1,1,80,17,13,2,0,46,7,40,13,2,5,2
26,41,28,42,58,29,20,10,7,6,2,201,2,49,0,3,83,13,14,2,3,22,7,47,28,5,12,1
25,49,18,27,59,27,20,6,9,3,6,188,2,36,0,7,94,14,14,5,5,34,7,53,26,4,12,1
17,40,14,32,51,36,12,13,10,2,3,180,0,30,0,6,97,7,15,0,1,38,11,42,13,2,6,2
15,42,20,26,61,30,15,9,11,7,5,171,2,26,1,5,89,14,10,1,2,41,7,46,27,2,7,1
18,49,22,28,50,35,20,11,12,3,8,175,3,42,0,6,105,15,16,1,3,38,11,57,23,1,5,2
16,46,23,24,48,24,17,8,8,4,8,161,1,32,3,3,101,17,12,3,0,37,2,50,15,1,4,1
23,37,25,22,65,28,21,7,15,8,8,165,1,31,0,7,115,10,19,4,2,33,8,52,28,2,5,1
16,48,26,26,54,38,24,15,5,9,8,162,0,27,4,13,86,16,21,6,1,30,3,48,13,4,6,2
20,41,23,24,55,26,25,17,11,10,12,141,1,49,0,11,89,18,21,7,1,53,11,44,25,3,18,1
21,36,16,23,57,32,22,10,7,13,14,133,1,57,0,5,113,14,20,5,2,52,12,46,24,5,15,2
16,48,29,30,42,38,25,11,12,6,10,139,0,43,0,4,93,16,24,2,0,38,5,35,12,3,5,2
28,45,26,24,45,19,30,16,9,7,15,156,1,39,0,9,108,21,11,2,1,50,12,43,20,5,14,1
19,42,19,16,58,36,26,16,8,8,11,118,0,42,1,9,90,37,18,5,1,43,4,31,16,5,11,1
18,48,13,20,53,26,22,15,10,1,8,116,0,40,1,10,79,15,29,2,2,39,7,53,17,4,17,1
26,42,26,33,55,19,23,10,9,7,16,110,0,48,0,10,101,30,20,5,1,50,9,34,21,2,10,1
21,39,24,19,50,23,23,10,14,4,6,108,0,38,2,9,121,23,18,6,3,63,10,37,28,5,10,1
26,43,25,25,58,23,15,9,7,12,10,144,2,41,1,10,100,17,11,6,1,45,4,50,32,3,15,1
14,36,15,21,47,17,23,9,10,3,13,112,1,52,0,3,97,27,27,2,1,43,12,44,45,3,11,1
18,38,17,21,61,25,28,14,9,4,16,142,1,47,2,7,111,27,17,6,4,56,8,31,32,9,21,1
20,31,20,14,68,20,27,16,6,9,9,134,0,54,2,6,131,26,25,3,3,55,6,34,31,4,12,1
18,50,26,24,59,43,35,13,14,11,14,134,0,46,1,7,117,27,15,4,1,52,5,41,25,1,8,1
22,45,31,28,50,31,39,20,11,14,25,137,3,67,5,13,152,32,29,12,2,59,18,59,39,5,20,1
18,47,17,17,60,26,32,14,16,3,15,125,0,50,2,7,128,32,24,2,2,45,13,46,35,6,12,1
16,49,25,14,52,27,40,8,10,13,20,118,2,34,1,8,128,28,22,7,5,41,13,40,31,8,16,1
